ID,Species,LMA,WC,LDMC,EWT
1,Prunus virginiana,73.8916,65.4867,34.5133,0.014
2,Prunus virginiana,73.3554,65.5556,34.4444,0.014
3,Prunus virginiana,73.2477,69.3396,30.6604,0.0166
4,Prunus virginiana,75.4612,65.8228,34.1772,0.0145
5,Prunus virginiana,67.6688,67.4938,32.5062,0.0141
6,Prunus virginiana,67.6126,70.2032,29.7968,0.0159
7,Prunus virginiana,64.0362,71.4697,28.5303,0.016
8,Prunus virginiana,77.1007,70.7921,29.2079,0.0187
9,Prunus virginiana,69.3114,73.5652,26.4348,0.0193
10,Prunus virginiana,57.2395,72.6708,27.3292,0.0152
11,Prunus virginiana,60.4429,74.0175,25.9825,0.0172
12,Prunus virginiana,63.1895,71.8377,28.1623,0.0161
13,Prunus virginiana,61.2835,72.3077,27.6923,0.016
14,Prunus virginiana,60.1511,73.9583,26.0417,0.0171
15,Prunus virginiana,63.3957,72.5914,27.4086,0.0168
16,Prunus virginiana,48.4884,75.1412,24.8588,0.0147
17,Prunus virginiana,42.2207,75.8333,24.1667,0.0132
18,Prunus virginiana,48.471,76.087,23.913,0.0154
19,Prunus virginiana,45.6573,76.0602,23.9398,0.0145
20,Prunus virginiana,47.2813,70.9804,29.0196,0.0116
21,Acer rubrum,47.1657,69.078,30.922,0.0105
22,Acer rubrum,42.1972,71.3576,28.6424,0.0105
23,Acer rubrum,37.6978,68.2609,31.7391,0.0081
24,Acer rubrum,41.9016,74.5211,25.4789,0.0123
25,Acer rubrum,41.9246,70.442,29.558,0.01
26,Acer rubrum,50.5808,66.092,33.908,0.0099
27,Acer rubrum,50.7545,64.8903,35.1097,0.0094
28,Acer rubrum,47.4608,66.6667,33.3333,0.0095
29,Acer rubrum,48.6037,65.5172,34.4828,0.0092
30,Acer rubrum,45.3384,67.0659,32.9341,0.0092
31,Acer rubrum,53.4462,65.5224,34.4776,0.0102
32,Acer rubrum,47.602,67.2646,32.7354,0.0098
33,Acer rubrum,56.2745,65.9483,34.0517,0.0109
34,Acer rubrum,51.8304,66.8657,33.1343,0.0105
35,Acer rubrum,54.456,67.0886,32.9114,0.0111
36,Acer rubrum,60.4515,67.5342,32.4658,0.0126
37,Acer rubrum,53.2147,68.8253,31.1747,0.0117
38,Acer rubrum,59.4814,66.7125,33.2875,0.0119
39,Acer rubrum,60.035,66.8254,33.1746,0.0121
40,Acer rubrum,45.57,71.8245,28.1755,0.0116
41,Quercus macrocarpa,46.2843,73.3167,26.6833,0.0127
42,Quercus macrocarpa,73.2409,76.2712,23.7288,0.0235
43,Quercus macrocarpa,51.4153,74.4089,25.5911,0.0149
44,Quercus macrocarpa,53.495,71.9917,28.0083,0.0138
45,Quercus macrocarpa,54.9928,70.948,29.052,0.0134
46,Quercus macrocarpa,45.1305,74.9091,25.0909,0.0135
47,Quercus macrocarpa,45.4972,74.9004,25.0996,0.0136
48,Quercus macrocarpa,45.0197,74.6032,25.3968,0.0132
49,Quercus macrocarpa,45.9589,73.8806,26.1194,0.013
50,Quercus macrocarpa,41.9475,75.6972,24.3028,0.0131
51,Quercus macrocarpa,47.4941,79.3478,20.6522,0.0182
52,Quercus macrocarpa,42.088,78.635,21.365,0.0155
53,Quercus macrocarpa,41.091,78.9474,21.0526,0.0154
54,Quercus macrocarpa,37.0201,79.7222,20.2778,0.0146
55,Quercus macrocarpa,42.4268,79.1667,20.8333,0.0161
56,Quercus macrocarpa,45.8449,76.0135,23.9865,0.0145
57,Quercus macrocarpa,45.7947,73.7089,26.2911,0.0128
58,Quercus macrocarpa,41.1843,75.3333,24.6667,0.0126
59,Quercus macrocarpa,47.7064,74.6341,25.3659,0.014
60,Quercus macrocarpa,51.8479,72.8223,27.1777,0.0139
61,Ulmus americana,53.3345,74.7917,25.2083,0.0158
62,Ulmus americana,62.545,75.1648,24.8352,0.0189
63,Ulmus americana,52.4684,74.5958,25.4042,0.0154
64,Ulmus americana,50.2417,75.8779,24.1221,0.0158
65,Ulmus americana,48.0031,77.1062,22.8938,0.0162
66,Ulmus americana,44.6318,75.6208,24.3792,0.0138
67,Ulmus americana,42.2761,76.129,23.871,0.0135
68,Ulmus americana,41.0084,78.7952,21.2048,0.0152
69,Ulmus americana,42.9749,75.5,24.5,0.0132
70,Ulmus americana,46.0706,74.8624,25.1376,0.0137
71,Ulmus americana,44.4133,76.3682,23.6318,0.0144
72,Ulmus americana,47.0937,75.2294,24.7706,0.0143
73,Ulmus americana,53.0374,75.7463,24.2537,0.0166
74,Ulmus americana,47.0511,73.5385,26.4615,0.0131
75,Ulmus americana,50.8277,73.7981,26.2019,0.0143
76,Ulmus americana,51.4842,75.0487,24.9513,0.0155
